experiment_type,experiment_id,name,category,numeric_value,display_value,unit,direction
evaluation,eval-task-3dp9h6-1785049271,detail.metrics.metrics.summary.r3,,0.158364312267658,0.158364312267658,,max
evaluation,eval-task-3dp9h6-1785049271,detail.metrics.metrics.summary.totalScore,,0.9961881467542268,0.9961881467542268,,max
evaluation,eval-task-3dp9h6-1785049271,detail.metrics.score,,0.9961881467542268,0.9961881467542268,,max
evaluation,eval-task-3dp9h6-1785049271,detail.score,,0.9961881467542267,0.9961881467542267,,max
evaluation,eval-task-3dp9h6-1785049271,score,,0.9961881467542267,0.9961881467542267,,max
evaluation,eval-task-3eo9jz-1783336581,detail.metrics.metrics.summary.r1,,0.10823633756201902,0.10823633756201902,,max
evaluation,eval-task-3eo9jz-1783336581,detail.metrics.metrics.summary.r2,,0.451,0.451,,max
evaluation,eval-task-3eo9jz-1783336581,detail.metrics.metrics.summary.r3,,0.14386617100371746,0.14386617100371746,,max
evaluation,eval-task-3eo9jz-1783336581,detail.metrics.metrics.summary.totalScore,,0.9177366549072,0.9177366549072,,max
evaluation,eval-task-3eo9jz-1783336581,detail.metrics.score,,0.9177366549072,0.9177366549072,,max
evaluation,eval-task-3eo9jz-1783336581,detail.score,,0.9177366549071999,0.9177366549071999,,max
evaluation,eval-task-3eo9jz-1783336581,score,,0.9177366549071999,0.9177366549071999,,max
evaluation,eval-task-3k8v5e-1783914292,detail.metrics.metrics.summary.r1,,0.14741596175024527,0.14741596175024527,,max
evaluation,eval-task-3k8v5e-1783914292,detail.metrics.metrics.summary.r2,,0.452,0.452,,max
evaluation,eval-task-3k8v5e-1783914292,detail.metrics.metrics.summary.r3,,0.14014869888475837,0.14014869888475837,,max
evaluation,eval-task-3k8v5e-1783914292,detail.metrics.metrics.summary.totalScore,,0.9848608278823904,0.9848608278823904,,max
evaluation,eval-task-3k8v5e-1783914292,detail.metrics.score,,0.9848608278823904,0.9848608278823904,,max
evaluation,eval-task-3k8v5e-1783914292,detail.score,,0.9848608278823904,0.9848608278823904,,max
evaluation,eval-task-3k8v5e-1783914292,score,,0.9848608278823904,0.9848608278823904,,max
evaluation,eval-task-40k2ig-1784100661,detail.metrics.metrics.summary.r1,,0.15831918559728353,0.15831918559728353,,max
evaluation,eval-task-40k2ig-1784100661,detail.metrics.metrics.summary.r2,,0.4337,0.4337,,max
evaluation,eval-task-40k2ig-1784100661,detail.metrics.metrics.summary.r3,,0.13903345724907062,0.13903345724907062,,max
evaluation,eval-task-40k2ig-1784100661,detail.metrics.metrics.summary.totalScore,,0.976348810093741,0.976348810093741,,max
evaluation,eval-task-40k2ig-1784100661,detail.metrics.score,,0.976348810093741,0.976348810093741,,max
evaluation,eval-task-40k2ig-1784100661,detail.score,,0.976348810093741,0.976348810093741,,max
evaluation,eval-task-40k2ig-1784100661,score,,0.976348810093741,0.976348810093741,,max
evaluation,eval-task-4lmbg1-1784446875,detail.metrics.metrics.summary.r1,,0.15942037125926942,0.15942037125926942,,max
evaluation,eval-task-4lmbg1-1784446875,detail.metrics.metrics.summary.r2,,0.4136,0.4136,,max
evaluation,eval-task-4lmbg1-1784446875,detail.metrics.metrics.summary.r3,,0.15947955390334573,0.15947955390334573,,max
evaluation,eval-task-4lmbg1-1784446875,detail.metrics.metrics.summary.totalScore,,0.977796092410002,0.977796092410002,,max
evaluation,eval-task-4lmbg1-1784446875,detail.metrics.score,,0.977796092410002,0.977796092410002,,max
evaluation,eval-task-4lmbg1-1784446875,detail.score,,0.977796092410002,0.977796092410002,,max
evaluation,eval-task-4lmbg1-1784446875,score,,0.977796092410002,0.977796092410002,,max
evaluation,eval-task-4twavz-1783089079,detail.metrics.metrics.summary.r1,,0.1160111833812945,0.1160111833812945,,max
evaluation,eval-task-4twavz-1783089079,detail.metrics.metrics.summary.r2,,0.4271,0.4271,,max
evaluation,eval-task-4twavz-1783089079,detail.metrics.metrics.summary.r3,,0.14312267657992564,0.14312267657992564,,max
evaluation,eval-task-4twavz-1783089079,detail.metrics.metrics.summary.totalScore,,0.9008680063026836,0.9008680063026836,,max
evaluation,eval-task-4twavz-1783089079,detail.metrics.score,,0.9008680063026836,0.9008680063026836,,max
evaluation,eval-task-4twavz-1783089079,detail.score,,0.9008680063026836,0.9008680063026836,,max
evaluation,eval-task-4twavz-1783089079,score,,0.9008680063026836,0.9008680063026836,,max
evaluation,eval-task-5kj67d-1784530748,detail.metrics.metrics.summary.r1,,0.14368657059828818,0.14368657059828818,,max
evaluation,eval-task-5kj67d-1784530748,detail.metrics.metrics.summary.r2,,0.4174,0.4174,,max
evaluation,eval-task-5kj67d-1784530748,detail.metrics.metrics.summary.r3,,0.15204460966542752,0.15204460966542752,,max
evaluation,eval-task-5kj67d-1784530748,detail.metrics.metrics.summary.totalScore,,0.9584273475111024,0.9584273475111024,,max
evaluation,eval-task-5kj67d-1784530748,detail.metrics.score,,0.9584273475111024,0.9584273475111024,,max
evaluation,eval-task-5kj67d-1784530748,detail.score,,0.9584273475111025,0.9584273475111025,,max
evaluation,eval-task-5kj67d-1784530748,score,,0.9584273475111025,0.9584273475111025,,max
evaluation,eval-task-651m3h-1783323564,detail.metrics.metrics.summary.r1,,0.13292707405253573,0.13292707405253573,,max
evaluation,eval-task-651m3h-1783323564,detail.metrics.metrics.summary.r2,,0.3723,0.3723,,max
evaluation,eval-task-651m3h-1783323564,detail.metrics.metrics.summary.r3,,0.1446096654275093,0.1446096654275093,,max
evaluation,eval-task-651m3h-1783323564,detail.metrics.metrics.summary.totalScore,,0.833808864915585,0.833808864915585,,max
evaluation,eval-task-651m3h-1783323564,detail.metrics.score,,0.833808864915585,0.833808864915585,,max
evaluation,eval-task-651m3h-1783323564,detail.score,,0.833808864915585,0.833808864915585,,max
evaluation,eval-task-651m3h-1783323564,score,,0.833808864915585,0.833808864915585,,max
evaluation,eval-task-6973bh-1784186715,detail.metrics.metrics.summary.r1,,0.14790793067629893,0.14790793067629893,,max
evaluation,eval-task-6973bh-1784186715,detail.metrics.metrics.summary.r2,,0.4262,0.4262,,max
evaluation,eval-task-6973bh-1784186715,detail.metrics.metrics.summary.r3,,0.1382899628252788,0.1382899628252788,,max
evaluation,eval-task-6973bh-1784186715,detail.metrics.metrics.summary.totalScore,,0.988356081654888,0.988356081654888,,max
evaluation,eval-task-6973bh-1784186715,detail.metrics.score,,0.988356081654888,0.988356081654888,,max
evaluation,eval-task-6973bh-1784186715,detail.score,,0.9883560816548879,0.9883560816548879,,max
evaluation,eval-task-6973bh-1784186715,score,,0.9883560816548879,0.9883560816548879,,max
evaluation,eval-task-6tn1xs-1783564210,detail.metrics.metrics.summary.r1,,0.10628992383012024,0.10628992383012024,,max
evaluation,eval-task-6tn1xs-1783564210,detail.metrics.metrics.summary.r2,,0.31889999999999996,0.31889999999999996,,max
evaluation,eval-task-6tn1xs-1783564210,detail.metrics.metrics.summary.r3,,0.14795539033457247,0.14795539033457247,,max
evaluation,eval-task-6tn1xs-1783564210,detail.metrics.metrics.summary.totalScore,,0.7571174396002327,0.7571174396002327,,max
evaluation,eval-task-6tn1xs-1783564210,detail.metrics.score,,0.7571174396002327,0.7571174396002327,,max
evaluation,eval-task-6tn1xs-1783564210,detail.score,,0.7571174396002327,0.7571174396002327,,max
evaluation,eval-task-6tn1xs-1783564210,score,,0.7571174396002327,0.7571174396002327,,max
evaluation,eval-task-6usmb7-1783908972,detail.metrics.metrics.summary.r1,,0.13978629087263392,0.13978629087263392,,max
evaluation,eval-task-6usmb7-1783908972,detail.metrics.metrics.summary.r2,,0.4454,0.4454,,max
evaluation,eval-task-6usmb7-1783908972,detail.metrics.metrics.summary.r3,,0.137546468401487,0.137546468401487,,max
evaluation,eval-task-6usmb7-1783908972,detail.metrics.metrics.summary.totalScore,,0.9680289265215076,0.9680289265215076,,max
evaluation,eval-task-6usmb7-1783908972,detail.metrics.score,,0.9680289265215076,0.9680289265215076,,max
evaluation,eval-task-6usmb7-1783908972,detail.score,,0.9680289265215077,0.9680289265215077,,max
evaluation,eval-task-6usmb7-1783908972,score,,0.9680289265215077,0.9680289265215077,,max
evaluation,eval-task-7m7vau-1785238259,detail.metrics.metrics.summary.r1,,0.16086367588918715,0.16086367588918715,,max
evaluation,eval-task-7m7vau-1785238259,detail.metrics.metrics.summary.r2,,0.4314,0.4314,,max
evaluation,eval-task-7m7vau-1785238259,detail.metrics.metrics.summary.r3,,0.16171003717472118,0.16171003717472118,,max
evaluation,eval-task-7m7vau-1785238259,detail.metrics.metrics.summary.totalScore,,0.9992698803112952,0.9992698803112952,,max
evaluation,eval-task-7m7vau-1785238259,detail.metrics.score,,0.9992698803112952,0.9992698803112952,,max
evaluation,eval-task-7m7vau-1785238259,detail.score,,0.9992698803112952,0.9992698803112952,,max
evaluation,eval-task-7m7vau-1785238259,score,,0.9992698803112952,0.9992698803112952,,max
evaluation,eval-task-8kjsh2-1785298964,detail.metrics.metrics.summary.r1,,0.1595059279162358,0.1595059279162358,,max
evaluation,eval-task-8kjsh2-1785298964,detail.metrics.metrics.summary.r2,,0.45359999999999995,0.45359999999999995,,max
evaluation,eval-task-8kjsh2-1785298964,detail.metrics.metrics.summary.r3,,0.137546468401487,0.137546468401487,,max
evaluation,eval-task-8kjsh2-1785298964,detail.metrics.metrics.summary.totalScore,,0.9959485635651096,0.9959485635651096,,max
evaluation,eval-task-8kjsh2-1785298964,detail.metrics.score,,0.9959485635651096,0.9959485635651096,,max
evaluation,eval-task-8kjsh2-1785298964,detail.score,,0.9959485635651095,0.9959485635651095,,max
evaluation,eval-task-8kjsh2-1785298964,score,,0.9959485635651095,0.9959485635651095,,max
evaluation,eval-task-8l83ke-1785292754,detail.metrics.metrics.summary.r1,,0.1604431178161385,0.1604431178161385,,max
evaluation,eval-task-8l83ke-1785292754,detail.metrics.metrics.summary.r2,,0.4589,0.4589,,max
evaluation,eval-task-8l83ke-1785292754,detail.metrics.metrics.summary.r3,,0.16096654275092936,0.16096654275092936,,max
evaluation,eval-task-8l83ke-1785292754,detail.metrics.metrics.summary.totalScore,,0.9949438069085312,0.9949438069085312,,max
evaluation,eval-task-8l83ke-1785292754,detail.metrics.score,,0.9949438069085312,0.9949438069085312,,max
evaluation,eval-task-8l83ke-1785292754,detail.score,,0.9949438069085313,0.9949438069085313,,max
evaluation,eval-task-8l83ke-1785292754,score,,0.9949438069085313,0.9949438069085313,,max
evaluation,eval-task-8lnsxp-1784776982,detail.metrics.metrics.summary.r1,,0.168845313268235,0.168845313268235,,max
evaluation,eval-task-8lnsxp-1784776982,detail.metrics.metrics.summary.r2,,0.3915,0.3915,,max
evaluation,eval-task-8lnsxp-1784776982,detail.metrics.metrics.summary.r3,,0.08141263940520445,0.08141263940520445,,max
evaluation,eval-task-8lnsxp-1784776982,detail.metrics.metrics.summary.totalScore,,0.7644060362971328,0.7644060362971328,,max
evaluation,eval-task-8lnsxp-1784776982,detail.metrics.score,,0.7644060362971328,0.7644060362971328,,max
evaluation,eval-task-8lnsxp-1784776982,detail.score,,0.7644060362971328,0.7644060362971328,,max
evaluation,eval-task-8lnsxp-1784776982,score,,0.7644060362971328,0.7644060362971328,,max
evaluation,eval-task-8wrnt7-1784509895,detail.metrics.metrics.summary.r1,,0.15856109194904744,0.15856109194904744,,max
evaluation,eval-task-8wrnt7-1784509895,detail.metrics.metrics.summary.r2,,0.4445,0.4445,,max
evaluation,eval-task-8wrnt7-1784509895,detail.metrics.metrics.summary.r3,,0.15873605947955388,0.15873605947955388,,max
evaluation,eval-task-8wrnt7-1784509895,detail.metrics.metrics.summary.totalScore,,1.007093318675988,1.007093318675988,,max
evaluation,eval-task-8wrnt7-1784509895,detail.metrics.score,,1.007093318675988,1.007093318675988,,max
evaluation,eval-task-8wrnt7-1784509895,detail.score,,1.007093318675988,1.007093318675988,,max
evaluation,eval-task-8wrnt7-1784509895,score,,1.007093318675988,1.007093318675988,,max
evaluation,eval-task-8xn1qi-1785165649,detail.metrics.metrics.summary.r1,,0.16075334327498808,0.16075334327498808,,max
evaluation,eval-task-8xn1qi-1785165649,detail.metrics.metrics.summary.r2,,0.4514,0.4514,,max
evaluation,eval-task-8xn1qi-1785165649,detail.metrics.metrics.summary.r3,,0.16505576208178438,0.16505576208178438,,max
evaluation,eval-task-8xn1qi-1785165649,detail.metrics.metrics.summary.totalScore,,1.0225052726041592,1.0225052726041592,,max
evaluation,eval-task-8xn1qi-1785165649,detail.metrics.score,,1.0225052726041592,1.0225052726041592,,max
evaluation,eval-task-8xn1qi-1785165649,detail.score,,1.0225052726041592,1.0225052726041592,,max
evaluation,eval-task-8xn1qi-1785165649,score,,1.0225052726041592,1.0225052726041592,,max
evaluation,eval-task-933dca-1783184219,detail.metrics.metrics.summary.r1,,0.11847619837959784,0.11847619837959784,,max
evaluation,eval-task-933dca-1783184219,detail.metrics.metrics.summary.r2,,0.4227,0.4227,,max
evaluation,eval-task-933dca-1783184219,detail.metrics.metrics.summary.r3,,0.14200743494423793,0.14200743494423793,,max
evaluation,eval-task-933dca-1783184219,detail.metrics.metrics.summary.totalScore,,0.8671557587593758,0.8671557587593758,,max
evaluation,eval-task-933dca-1783184219,detail.metrics.score,,0.8671557587593758,0.8671557587593758,,max
evaluation,eval-task-933dca-1783184219,detail.score,,0.8671557587593758,0.8671557587593758,,max
evaluation,eval-task-933dca-1783184219,score,,0.8671557587593758,0.8671557587593758,,max
evaluation,eval-task-9ie86v-1783961075,detail.metrics.metrics.summary.r1,,0.15730485580365727,0.15730485580365727,,max
evaluation,eval-task-9ie86v-1783961075,detail.metrics.metrics.summary.r2,,0.4562,0.4562,,max
evaluation,eval-task-9ie86v-1783961075,detail.metrics.metrics.summary.r3,,0.13903345724907062,0.13903345724907062,,max
