id,name,status,created_at,updated_at
train-task-llnhyk-1782972662,baseline,,1782972662,
train-task-earf34-1782993226,baseline调参_copy,,1782993226,
train-task-74241v-1783577108,riders_fk_plat_ep1,,1783577109,
train-task-07lovv-1784036007,baseline01,,1784036007,
train-task-t7cw47-1784280839,baseline01_copy_copy,,1784280840,
train-task-08d2wq-1784636197,baselinea,,1784636198,
train-task-nqao6d-1785002348,data_mixed_user_lora_32r,,1785002348,
train-task-19q72l-1785148776,onereason_i35_merged_ActionSelect_104_full_copy,,1785148777,
